year;name;boxOfficeId;won;twitter_mentions
2007;Ratatouille;ratatouille;0;12194
2007;There Will Be Blood;therewillbeblood;0;930
2007;Transformers;transformers06;0;3887
2007;The Golden Compass;goldencompass;1;28
2007;Pirates of the Caribbean: At World's End;piratesofthecaribbean3;0;1017
2007;Transformers;transformers06;0;3887
2007;Atonement;atonement;0;2306
2007;Away from Her;awayfromher;0;82
2007;The Diving Bell and the Butterfly;divingbellandthebutterfly;0;40
2007;No Country for Old Men;nocountryforoldmen;1;390
2007;There Will Be Blood;therewillbeblood;0;930
2007;Juno;juno;1;46221
2007;Lars and the Real Girl;larsandtherealgirl;0;180
2007;Michael Clayton;michaelclayton;0;162
2007;Ratatouille;ratatouille;0;12194
2007;The Savages;savages;0;165
2008;The Visitor;visitor08;0;95
2008;Frost/Nixon;frostnixon;0;23
2008;Milk;milk;1;401610
2008;The Curious Case of Benjamin Button;curiouscaseofbenjaminbutton;0;586
2008;The Wrestler;wrestler;0;81
2008;Milk;milk;0;401610
2008;Tropic Thunder;tropicthunder;0;101
2008;Doubt;doubt;0;7715
2008;The Dark Knight;darkknight;1;3177
2008;Revolutionary Road;revolutionaryroad;0;111
2008;Rachel Getting Married;rachelgettingmarried;0;11
2008;Changeling;changeling08;0;130
2008;Frozen River;frozenriver;0;103
2008;Doubt;doubt;0;7715
2008;The Reader;reader;1;1155
2008;Doubt;doubt;0;7715
2008;Vicky Cristina Barcelona;vickycristinabarcelona;1;54
2008;Doubt;doubt;0;7715
2008;The Curious Case of Benjamin Button;curiouscaseofbenjaminbutton;0;586
2008;The Wrestler;wrestler;0;81
2008;Changeling;changeling08;0;130
2008;The Curious Case of Benjamin Button;curiouscaseofbenjaminbutton;1;586
2008;The Dark Knight;darkknight;0;3177
2008;The Duchess;duchess;0;976
2008;Revolutionary Road;revolutionaryroad;0;111
2008;Changeling;changeling08;0;130
2008;The Curious Case of Benjamin Button;curiouscaseofbenjaminbutton;0;586
2008;The Dark Knight;darkknight;0;3177
2008;The Reader;reader;0;1155
2008;Slumdog Millionaire;slumdogmillionaire;1;1263
2008;Australia;australia;0;67569
2008;The Curious Case of Benjamin Button;curiouscaseofbenjaminbutton;0;586
2008;The Duchess;duchess;1;976
2008;Milk;milk;0;401610
2008;Revolutionary Road;revolutionaryroad;0;111
2008;The Curious Case of Benjamin Button;curiouscaseofbenjaminbutton;0;586
2008;Frost/Nixon;frostnixon;0;23
2008;Milk;milk;0;401610
2008;The Reader;reader;0;1155
